,translations
0,die
1,von
2,und
3,zu
4,in
5,dem
6,er
7,war
8,es
9,seine
10,mit
11,Ihnen
12,als
13,für
14,ist
15,hatte
16,nicht
17,oder
18,sein
19,auf
20,unter
21,sondern
22,von
23,ihre
24,diese
25,die
26,haben
27,sie
28,von
29,ihm
30,meine
31,sie
32,alle
33,ich
34,ein
35,waren
36,so
37,sind
38,ein
39,wir
40,sagte
41,ihre
42,keine
43,wenn
44,es
45,die
46,wenn
47,sie
48,wird
49,würde
50,was
51,gewesen
52,aus
53,tun
54,auf
55,Ihre
56,mehr
57,Mann
58,dann
59,jede
60,in
61,siehe
62,jetzt
63,einige
64,andere
65,könnte
66,auf
67,wie
68,hat
69,Zeit
70,über
71,als
72,sehr
73,unser
74,kann
75,wenig
76,kann
77,seine
78,nur
79,hat
80,solche
81,uns
82,soll
83,diese
84,vor
85,gemacht
86,zwei
87,gut
88,gut
89,großartig
90,kennen
91,über
92,nach
93,muss
94,sollte
95,kommen
96,wie
97,runter
98,gutenberg
99,erste
100,projekt
101,arbeit
102,alt
103,tag
104,wo
105,Männer
106,viel
107,nie
108,hier
109,gehen
110,kam
111,Weg
112,Leben
113,eigene
114,meisten
115,machen
116,mr
117,bin
118,lang
119,sagen
120,sich
121,ohne
122,wieder
123,durch
124,zu sein
125,die
126,zurück
127,könnte
128,sogar
129,viele
130,unter
131,zu
132,Menschen
133,Hand
134,weg
135,ging
136,jede
137,du
138,denke
139,auch
140,de
141,doch
142,nimm
143,Augen
144,Haus
145,noch
146,dasselbe
147,Ort
148,zuletzt
149,dachte
150,lassen
151,neu
152,während
153,nur
154,gefunden
155,Dinge
156,Kopf
157,Fürst
158,tm
159,eine weitere
160,nichts
161,obwohl
162,Gib
163,junge
164,Nacht
165,rechts
166,König
167,Liebe
168,Gesicht
169,aus
170,Gott
171,Welt
172,Herr
173,Jahre
174,immer
175,gegen
176,drei
177,sah
178,einmal
179,deine
180,erhalten
181,Teil
182,sag
183,links
184,setzen
185,denn
186,nahm
187,schauen
188,jeder
189,warum
190,genannt
191,Name
192,Geist
193,Vater
194,Sache
195,Herz
196,schaute
197,mit
198,Zimmer
199,setzen
200,weit
201,zwischen
202,immer
203,Frau
204,voll
205,Seite
206,arbeitet
207,beide
208,schien
209,verwenden
210,bekam
211,gehört
212,du
213,den
214,etwas
215,noch
216,getan
217,Frau
218,Tage
219,gehen
220,Zustand
221,gefragt
222,unter
223,Ende
224,wenige
225,finden
226,besser
227,gesehen
228,erzählt
229,Tür
230,Licht
231,klein
232,Hände
233,Worte
234,wusste
235,halb
236,verwendet
237,Wasser
238,so
239,Tod
240,Moment
241,Land
242,Mutter
243,genug
244,Wort
245,Zuhause
246,ganz
247,seit
248,weiß
249,Land
250,Sohn
251,ziemlich
252,arm
253,ich selbst
254,bald
255,wurde
256,natürlich
257,gab
258,Dame
259,Stimme
260,fast
261,wollen
262,deren
263,innerhalb
264,begann
265,nächste
266,Runde
267,brachte
268,kann nicht
269,Geld
270,etwas
271,Gesetz
272,Formular
273,tut
274,hoch
275,Art
276,Macht
277,zusammen
278,jedoch
279,stand
280,ja
281,allgemein
282,vielleicht
283,Luft
284,Kinder
285,eher
286,bis
287,bestimmte
288,wahr
289,weniger
290,Morgen
291,bis
292,beste
293,elektronisch
294,Meer
295,andere
296,liebe
297,gegeben
298,vermissen
299,gefühlt
300,Freund
301,hören
302,Angelegenheit
303,halten
304,Staaten
305,Begriffe
306,la
307,öffentlich
308,Person
309,sich
310,Jahr
311,oh
312,genommen
313,groß
314,nicht
315,oft
316,Erde
317,Körper
318,rief
319,hervor
320,tatsächlich
321,Füße
322,hundert
323,suchen
324,Feuer
325,sprechen
326,über
327,Frau
328,vier
329,schwarz
330,allein
331,Stadt
332,gegangen
333,Natur
334,zweite
335,mal
336,bedeutet
337,sich
338,tot
339,don
340,Stiftung
341,öffnen
342,lesen
343,Gegenwart
344,bei
345,fünf
346,an
347,ihr
348,legen
349,Mädchen
350,vgl.
351,Punkt
352,helfen
353,Kind
354,deshalb
355,rot
356,Fall
357,bekannt
358,verlassen
359,entlang
360,gehalten
361,sicher
362,bestanden
363,Hoffnung
364,sagt
365,Art und Weise
366,glauben
367,hinter
368,gesendet
369,Rest
370,antwortete
371,entweder
372,Bestellung
373,Frauen
374,antwortete
375,frei
376,tausend
377,Geschäft
378,bereits
379,Junge
380,zurück
381,anrufen
382,Krieg
383,selbst
384,saß
385,hat
386,am wenigsten
387,Stunde
388,obs
389,mehrere
390,ob
391,Tatsache
392,Freunde
393,Anzahl
394,Grund
395,ll
396,leben
397,verloren
398,Seele
399,kurz
400,vereinigt
401,party
402,Kunst
403,Angst
404,während
405,erhalten
406,Meister
407,Arme
408,Herstellung
409,Vereinbarung
410,Rose
411,kommen
412,fiel
413,Alter
414,bedeuten
415,Grund
416,keine
417,drehen
418,hart
419,manchmal
420,Stadt
421,Blut
422,Wunsch
423,kapitel
424,Familie
425,Buch
426,wirklich
427,Brief
428,halten
429,handeln
430,stark
431,verursachen
432,bringen
433,werden
434,Wahrheit
435,Bett
436,Mensch
437,Pferd
438,dunkel
439,mein
440,wurde
441,Bruder
442,Sonne
443,gemeinsam
444,Anblick
445,zwanzig
446,Tisch
447,Sinn
448,zurück
449,zu
450,sortieren
451,Pflege
452,um
453,Auge
454,zehn
455,schließen
456,verschiedene
457,englisch
458,gehalten
459,antwort
460,geist
461,regierung
462,frage
463,fair
464,fragen
465,john
466,verstehen
467,fühlen
468,sonst
469,plötzlich
470,est
471,Copyright
472,zeigen
473,Abend
474,seltsam
475,gold
476,Kraft
477,sagen
478,geschrieben
479,klingen
480,sprechen
481,brauchen
482,Kirche
483,Gesetze
484,Satz
485,Fluss
486,weder
487,Thema
488,Lizenz
489,gefolgt
490,alles
491,möglich
492,niedrig
493,fr
494,bereit
495,über
496,Leitung
497,et
498,met
499,Kapitän
500,Gericht
501,Zweifel
502,Vergangenheit
503,Himmel
504,stehen
505,möglich
506,Geschichte
507,passieren
508,kopieren
509,nach
510,sechs
511,Spenden
512,an
513,gut
514,tief
515,Haar
516,Informationen
517,Dienstleistung
518,Straße
519,Idee
520,Tochter
521,natürlich
522,ändern
523,sprach
524,außer
525,Kollege
526,mehr
527,literarisch
528,kalt
529,einschließlich
530,erinnern
531,schön
532,Wind
533,Herbst
534,le
535,jenseits
536,Hinweis
537,bezahlt
538,selbst
539,Schnitt
540,glücklich
541,leben
542,laufen
543,erschienen
544,gr
545,Straße
546,früh
547,später
548,nehmen
549,england
550,Zweck
551,eingeben
552,scheint
553,treffen
554,gentleman
555,re
556,charakter
557,süd
558,es ist
559,bitte
560,groß
561,frieden
562,Interesse
563,weiter
564,unter
565,Chef
566,Bad
567,Büro
568,Ehemann
569,Fenster
570,Fortsetzung
571,real
572,vermuten
573,Baum
574,klar
575,Fuß
576,Fürst
577,besonders
578,die
579,süß
580,getragen
581,Stunden
582,kommt
583,tragen
584,laden
585,Unternehmen
586,Konto
587,grün
588,fast
589,wissen
590,tom
591,usw.
